Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
GenGamma,21,15,1e-05,216,3,100,238,83,0.348739495798319,62482,15139540,0.00412707387410714,412.707387410714,358,35278,155,0.0100460208777641,0.697855750487329,0.0198069102879748,0.0462669580605213,0.953733041939479,0,0.503897774135872,1.34908612372548,0.11367450937977,-1.61736928637605,296.67553636089,1740.95319101947
GenGamma-exact,21,15,1e-05,216,3,100,238,81,0.340336134453782,28532,10578292,0.00269722181993085,269.722181993085,272,17179,157,0.015586499341012,0.634032634032634,0.0304250559284116,0.323727354859581,0.676272645140419,0,1.05515517052851,1.50756893998104,0.11367450937977,-1.61736928637605,617.201037370808,1636.53762309576
Lognormal,21,15,1e-05,216,2,100,238,8,0.0336134453781513,466,15909731,2.92902500991374e-05,2.92902500991374,9,82,230,0.0989010989010989,0.0376569037656904,0.0545454545454545,0,1,0,0.337153511925649,0.0689165444630195,0.11367450937977,-1.61736928637605,15.0954506903792,335.564555781686
Weibull,21,15,1e-05,216,2,100,238,114,0.478991596638655,17227,15909731,0.00108279643445889,108.279643445889,216,4629,124,0.0445820433436533,0.635294117647059,0.0833172613307618,0,1,0,3.80412056451814,0.730223286850605,0.11367450937977,-1.61736928637605,18.5995984865797,339.131847621209
BurrXII,31,21,1e-05,520,3,100,238,41,0.172268907563025,660,6326458,0.00010432377801291,10.432377801291,77,221,197,0.258389261744966,0.281021897810219,0.269230769230769,0.582981242363379,0.417018757636621,0,2.7712453284929,4.08785906701054,0.115131313983988,-1.77079165901267,503.945334055178,866.093305093454
G0,31,21,1e-05,520,3,100,238,25,0.105042016806723,210,3059130,6.86469682556805e-05,6.86469682556805,46,61,213,0.429906542056075,0.177606177606178,0.251366120218579,0.787611473588954,0.212388526411046,0,9.11861471597374,14.6289662009249,0.115131313983988,-1.77079165901267,5725.30035136258,6310.60245723759
G0-L1,31,21,1e-05,520,2,100,238,10,0.0420168067226891,130,797373,0.000163035367387659,16.3035367387659,15,45,228,0.25,0.0617283950617284,0.099009900990099,0.943092969110205,0.0569070308897955,0,10.4954674286436,13.1555190605339,0.115131313983988,-1.77079165901267,97.2553475054177,462.415816377392
GenGamma,31,21,1e-05,520,3,100,238,97,0.407563025210084,74377,15362017,0.00484161682674873,484.161682674873,380,38315,141,0.00982039023129603,0.72936660268714,0.0193798449612403,0.03248697645567,0.96751302354433,0,0.346895810072078,0.544489296013796,0.115131313983988,-1.77079165901267,297.857267960364,1809.82096918407
GenGamma-exact,31,21,1e-05,520,3,100,238,92,0.38655462184874,29030,9871596,0.00294076054165912,294.076054165912,306,15543,146,0.0193072118114708,0.676991150442478,0.0375437089749095,0.364936253873373,0.635063746126627,0,0.620857124140272,0.932509066755153,0.115131313983988,-1.77079165901267,543.375571481811,1531.35695279227
Lognormal,31,21,1e-05,520,2,100,238,14,0.0588235294117647,890,15909731,5.59406064125157e-05,5.59406064125157,17,105,224,0.139344262295082,0.0705394190871369,0.09366391184573,0,1,0,0.339306985972712,0.049011904177359,0.115131313983988,-1.77079165901267,15.9470701636267,346.30914692968
