Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
GenGamma,121,87,1e-06,7072,3,60,189,127,0.671957671957672,14149,37761222,0.000374696560402627,374.696560402627,127,9310,62,0.0134576666313447,0.671957671957672,0.026386868896738,0.00414106770833333,0.995858932291667,0,1.07378799325085,0.174957273245451,0.111088066628716,-1.05009237318315,170.2943359375,1144.31008854167
GenGamma-exact,121,87,1e-06,7072,3,60,189,127,0.671957671957672,17754,37147892,0.000477927522778412,477.927522778412,127,12468,62,0.0100833664152441,0.671957671957672,0.0198685857321652,0.0201554947916667,0.979844505208333,0,1.16923817669525,0.178941279028214,0.111088066628716,-1.05009237318315,468.874140625,1448.11219010417
K,121,87,1e-06,7072,2,60,189,0,0,0,684,0,0,0,0,189,0,0,0,0.999922760416667,7.72395833333333e-05,0,NaN,NaN,0.111088066628716,-1.05009237318315,9.1078515625,269.10978125
Lognormal,121,87,1e-06,7072,2,60,189,36,0.19047619047619,418,37914812,1.10247150902397e-05,11.0247150902397,36,31,153,0.537313432835821,0.19047619047619,0.28125,0,1,0,0.333296109488098,0.0072952482857645,0.111088066628716,-1.05009237318315,6.67268229166667,265.39115625
Weibull,121,87,1e-06,7072,2,60,189,176,0.931216931216931,25462,37914812,0.000671558123511202,671.558123511202,176,5735,13,0.0297749957705972,0.931216931216931,0.0577049180327869,0,1,0,3.84814052697079,0.0812057037604972,0.111088066628716,-1.05009237318315,7.95121354166667,266.48628125
BurrXII,131,93,1e-06,8512,3,60,189,77,0.407407407407407,1116,23361292,4.77713304555245e-05,47.7713304555245,77,224,112,0.255813953488372,0.407407407407407,0.314285714285714,0.38031484375,0.61968515625,0,4.0201588529296,3.90414190059698,0.111117964331022,-1.04949402660091,355.113544270833,641.627588541667
CA-CFAR,131,93,1e-06,8512,0,60,189,88,0.465608465608466,636,37914812,1.67744468837139e-05,16.7744468837139,88,167,101,0.345098039215686,0.465608465608466,0.396396396396396,0,1,0,NaN,NaN,0.111117964331022,-1.04949402660091,0,264.40053125
G0,131,93,1e-06,8512,3,60,189,51,0.26984126984127,618,6599389,9.36450328962272e-05,93.6450328962272,51,77,138,0.3984375,0.26984126984127,0.321766561514196,0.818924453125,0.181075546875,0,4.90284878577154,5.02343788191815,0.111117964331022,-1.04949402660091,3200.38407291667,3622.8933203125
G0-L1,131,93,1e-06,8512,2,60,189,0,0,0,530,0,0,0,0,189,0,0,0,0.999923697916666,7.63020833333333e-05,0,55.017925124826,80.7781528842036,0.111117964331022,-1.04949402660091,24.1944505208333,285.303192708333
GenGamma,131,93,1e-06,8512,3,60,189,133,0.703703703703704,14680,37753960,0.000388833383306016,388.833383306016,133,9252,56,0.0141715503462973,0.703703703703704,0.0277835805306037,0.00433078125,0.99566921875,0,1.07483138146211,0.163254873167702,0.111117964331022,-1.04949402660091,169.192114583333,1145.030203125
GenGamma-exact,131,93,1e-06,8512,3,60,189,133,0.703703703703704,18325,37148701,0.000493287773373287,493.287773373287,133,12387,56,0.0106230031948882,0.703703703703704,0.02093004957117,0.0201377083333333,0.979862291666667,0,1.17031722120937,0.16994202148161,0.111117964331022,-1.04949402660091,461.353153645833,1439.25264583333
K,131,93,1e-06,8512,2,60,189,0,0,0,530,0,0,0,0,189,0,0,0,0.999923697916666,7.63020833333333e-05,0,NaN,NaN,0.111117964331022,-1.04949402660091,8.93294010416667,269.04921875
Lognormal,131,93,1e-06,8512,2,60,189,36,0.19047619047619,537,37914812,1.41633301518151e-05,14.1633301518151,36,34,153,0.514285714285714,0.19047619047619,0.277992277992278,0,1,0,0.333340962173588,0.00687846992235158,0.111117964331022,-1.04949402660091,6.4959296875,265.601520833333
Weibull,131,93,1e-06,8512,2,60,189,177,0.936507936507937,26408,37914812,0.000696508794504902,696.508794504902,177,5850,12,0.0293678446988552,0.936507936507937,0.0569498069498069,0,1,0,3.84762262842018,0.0753110054425732,0.111117964331022,-1.04949402660091,8.06684375,266.9495234375
BurrXII,141,101,1e-06,9680,3,60,189,73,0.386243386243386,1145,23444506,4.88387343286312e-05,48.8387343286312,73,241,116,0.232484076433121,0.386243386243386,0.290258449304175,0.378237473958333,0.621762526041667,0,3.98541007762658,3.60475177449333,0.111144159290776,-1.04817420394579,345.172450520833,637.8383046875
CA-CFAR,141,101,1e-06,9680,0,60,189,89,0.470899470899471,704,37914812,1.85679412046142e-05,18.5679412046142,89,163,100,0.353174603174603,0.470899470899471,0.403628117913832,0,1,0,NaN,NaN,0.111144159290776,-1.04817420394579,0,271.004627604167
G0,141,101,1e-06,9680,3,60,189,47,0.248677248677249,851,6770014,0.000125701364871624,125.701364871624,47,87,142,0.350746268656716,0.248677248677249,0.291021671826625,0.814636354166667,0.185363645833333,0,4.98864743092575,5.62024412061368,0.111144159290776,-1.04817420394579,3226.04799479167,3658.9191875
G0-L1,141,101,1e-06,9680,2,60,189,0,0,0,869,0,0,0,0,189,0,0,0,0.999928151041667,7.18489583333333e-05,0,36.1613209427938,49.0325208256847,0.111144159290776,-1.04817420394579,24.350875,292.311705729167
GenGamma,141,101,1e-06,9680,3,60,189,134,0.708994708994709,15409,37748971,0.00040819655719887,408.19655719887,134,9200,55,0.0143561174201843,0.708994708994709,0.0281423921033288,0.00444533854166667,0.995554661458333,0,1.07723593361526,0.157803904005845,0.111144159290776,-1.04817420394579,172.232388020833,1155.991203125
GenGamma-exact,141,101,1e-06,9680,3,60,189,134,0.708994708994709,19020,37154402,0.000511917807208955,511.917807208955,134,12326,55,0.0107544141252006,0.708994708994709,0.0211874456478773,0.019982265625,0.980017734375,0,1.17280633527707,0.163176529329988,0.111144159290776,-1.04817420394579,470.678825520833,1454.83582552083
