Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
Weibull,21,15,0.0001,216,2,60,131,89,0.679389312977099,19786,9394273,0.00210617681644977,21.0617681644977,89,5622,42,0.015583960777447,0.679389312977099,0.030469017459774,0,1,0,3.75204281325767,0.724475950141346,0.116847898667876,-1.64140194953972,13.3722563744568,305.822956855008
BurrXII,31,21,0.0001,520,3,60,131,41,0.312977099236641,828,3847724,0.000215192149956702,2.15192149956702,41,336,90,0.108753315649867,0.312977099236641,0.161417322834646,0.573007496577924,0.426992503422076,0,2.83320274085602,3.83336369669927,0.119228652984883,-1.84515150834728,373.835057553944,692.186182330803
CA-CFAR,31,21,0.0001,520,0,60,131,37,0.282442748091603,1781,9394273,0.000189583589916963,1.89583589916963,37,174,94,0.175355450236967,0.282442748091603,0.216374269005848,0,1,0,NaN,NaN,0.119228652984883,-1.84515150834728,0,303.630865020848
G0,31,21,0.0001,520,3,60,131,33,0.251908396946565,278,1757950,0.000158138741147359,1.58138741147359,33,106,98,0.237410071942446,0.251908396946565,0.244444444444444,0.793983070494265,0.206016929505735,0,9.81995345970197,20.2010026432719,0.119228652984883,-1.84515150834728,4131.57871742453,4652.16067191709
G0-L1,31,21,0.0001,520,2,60,131,13,0.099236641221374,49,348699,0.000140522341618416,1.40522341618416,13,19,118,0.40625,0.099236641221374,0.159509202453988,0.959919020275529,0.0400809797244712,0,8.12737528370364,13.8491512528651,0.119228652984883,-1.84515150834728,55.7950424873631,377.056147771495
GenGamma,31,21,0.0001,520,3,60,131,87,0.66412213740458,58146,9148065,0.00635609825684448,63.5609825684448,87,29144,44,0.00297629229242927,0.66412213740458,0.0059260268374089,0.0243752434807363,0.975624756519264,0,0.298490876377073,0.49829424560208,0.119228652984883,-1.84515150834728,207.902475822891,1577.27166104478
GenGamma-exact,31,21,0.0001,520,3,60,131,78,0.595419847328244,22734,5761311,0.00394597687922072,39.4597687922072,78,11417,53,0.00678555893866899,0.595419847328244,0.0134182005848959,0.372733122559426,0.627266877440574,0,0.560935800677921,0.900101752721699,0.119228652984883,-1.84515150834728,385.051525855403,1290.69241258673
K,31,21,0.0001,520,2,60,131,19,0.145038167938931,88,348699,0.000252366654335114,2.52366654335114,19,25,112,0.431818181818182,0.145038167938931,0.217142857142857,0.959919020275529,0.0400809797244712,0,NaN,NaN,0.119228652984883,-1.84515150834728,42.4360593505122,339.74300681897
Lognormal,31,21,0.0001,520,2,60,131,23,0.175572519083969,2968,9394273,0.000315937167250728,3.15937167250728,23,158,108,0.12707182320442,0.175572519083969,0.147435897435897,0,1,0,0.345294991076904,0.0499535685833376,0.119228652984883,-1.84515150834728,10.4181288292536,304.056836086646
Weibull,31,21,0.0001,520,2,60,131,100,0.763358778625954,16698,9394273,0.00177746590928324,17.7746590928324,100,4184,31,0.0233426704014939,0.763358778625954,0.0453001132502831,0,1,0,3.71436047806714,0.515183323567496,0.119228652984883,-1.84515150834728,13.8095866686764,307.784670638028
BurrXII,41,27,0.0001,952,3,60,131,51,0.389312977099237,690,3737682,0.00018460639508658,1.8460639508658,51,251,80,0.16887417218543,0.389312977099237,0.235565819861432,0.581679630526794,0.418320369473206,0,2.52292340687254,3.16919051181793,0.119847166304702,-1.90016669644414,357.191187360799,669.773342824322
CA-CFAR,41,27,0.0001,952,0,60,131,43,0.32824427480916,2652,9394273,0.000282299652139128,2.82299652139128,43,160,88,0.211822660098522,0.32824427480916,0.25748502994012,0,1,0,NaN,NaN,0.119847166304702,-1.90016669644414,0,298.290217675896
G0,41,27,0.0001,952,3,60,131,36,0.274809160305344,421,1799233,0.000233988594028678,2.33988594028678,36,100,95,0.264705882352941,0.274809160305344,0.269662921348315,0.787974071774969,0.212025928225031,0,9.60302371679256,16.6552120145661,0.119847166304702,-1.90016669644414,4003.75684635364,4520.09045981886
G0-L1,41,27,0.0001,952,2,60,131,10,0.0763358778625954,50,358576,0.000139440453348802,1.39440453348802,10,12,121,0.454545454545455,0.0763358778625954,0.130718954248366,0.958739805579015,0.0412601944209848,0,8.00904665970813,12.7983430960731,0.119847166304702,-1.90016669644414,50.0188540306901,366.185782261275
GenGamma,41,27,0.0001,952,3,60,131,94,0.717557251908397,63125,9203909,0.00685849892692333,68.5849892692333,94,29954,37,0.0031283280085197,0.717557251908397,0.00622949733258226,0.0182092956591603,0.98179070434084,0,0.263454305189235,0.344916409430268,0.119847166304702,-1.90016669644414,217.040049289897,1620.79229786061
GenGamma-exact,41,27,0.0001,952,3,60,131,84,0.641221374045801,21439,5546807,0.00386510653786944,38.6510653786944,84,9321,47,0.00893141945773525,0.641221374045801,0.0176174496644295,0.393572715335835,0.606427284664165,0,0.73857398431715,0.895307057353129,0.119847166304702,-1.90016669644414,362.198433029807,1221.31780780622
