Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP,Pfa_CI_Lo,Pfa_CI_Hi,Ratio_CI_Lo,Ratio_CI_Hi,CI_Width
CA-CFAR,15,11,1e-06,104,0,60,131,7,0.0534351145038168,350,9394273,3.72567414210764e-05,37.2567414210764,7,72,124,0.0886075949367089,0.0534351145038168,0.0666666666666667,0,1,0,NaN,NaN,0.112020641834398,-1.22699172439767,0,304.767172745258,3.34553995365822e-05,4.13716845606198e-05,33.4553995365822,41.3716845606198,7.91628502403763e-06
G0,15,11,1e-06,104,3,60,131,0,0,48,2013339,2.38409925005178e-05,23.8409925005178,0,34,131,0,0,0,0.771742230636284,0.228257769363716,0,17.6639209845974,38.1475520655133,0.112020641834398,-1.22699172439767,4395.84060838862,4953.04751350963,1.75785165114111e-05,3.16095744261977e-05,17.5785165114111,31.6095744261977,1.40310579147867e-05
G0-L1,15,11,1e-06,104,2,60,131,3,0.0229007633587786,15,333669,4.49547305862996e-05,44.9547305862996,3,11,128,0.214285714285714,0.0229007633587786,0.0413793103448276,0.962095699374802,0.0379043006251978,0,7.69116968845371,13.9951299017126,0.112020641834398,-1.22699172439767,56.9747170829169,381.518036051819,2.51610327658675e-05,7.41449093918749e-05,25.1610327658675,74.1449093918749,4.89838766260074e-05
GenGamma,15,11,1e-06,104,3,60,131,52,0.396946564885496,20513,8834888,0.00232181777516591,2321.81777516591,52,12938,79,0.00400307929176289,0.396946564885496,0.00792622513527932,0.0579168992907136,0.942083100709286,0,0.970062834510229,2.24609115016942,0.112020641834398,-1.22699172439767,218.369245450769,1494.53782347405,0.00229018801888291,0.00235377438063733,2290.18801888291,2353.77438063733,6.35863617544251e-05
GenGamma-exact,15,11,1e-06,104,3,60,131,48,0.366412213740458,10180,6710384,0.00151705178123934,1517.05178123935,48,6613,83,0.00720612520642546,0.366412213740458,0.0141342756183746,0.279336795285385,0.720663204714615,0,1.37025846123705,2.56518677100664,0.112020641834398,-1.22699172439767,429.366403667242,1386.36182117558,0.00148774527051434,0.00154678974283701,1487.74527051434,1546.78974283701,5.90444723226682e-05
K,15,11,1e-06,104,2,60,131,4,0.0305343511450382,17,333669,5.09486946644729e-05,50.9486946644729,4,12,127,0.25,0.0305343511450382,0.054421768707483,0.962095699374802,0.0379043006251978,0,NaN,NaN,0.112020641834398,-1.22699172439767,39.7473445463065,338.702618000487,2.96797633207961e-05,8.15725465314743e-05,29.6797633207961,81.5725465314743,5.18927832106782e-05
Lognormal,15,11,1e-06,104,2,60,131,0,0,154,9394273,1.63929662252736e-05,16.3929662252736,0,37,131,0,0,0,0,1,0,0.334688413912601,0.0952429842737063,0.112020641834398,-1.22699172439767,10.5206635495363,304.656482681494,1.39061522700095e-05,1.91961656130224e-05,13.9061522700095,19.1961656130224,5.29001334301291e-06
Weibull,15,11,1e-06,104,2,60,131,43,0.32824427480916,9845,9394273,0.00104797891225856,1047.97891225856,43,2911,88,0.0145565335138795,0.32824427480916,0.0278768233387358,0,1,0,3.83221855717613,1.01500170396048,0.112020641834398,-1.22699172439767,13.2741842081968,307.756324578094,0.00102738937933724,0.0010688769401706,1027.38937933724,1068.8769401706,4.14875608333678e-05
BurrXII,17,13,1e-06,120,3,60,131,6,0.0458015267175573,344,4750623,7.24115552844332e-05,72.4115552844332,6,190,125,0.0306122448979592,0.0458015267175573,0.036697247706422,0.486851288364118,0.513148711635882,0,2.46877290096519,2.85549108316645,0.113412183259562,-1.32908202518665,433.869557569495,751.627755588101,6.49610423072358e-05,8.0482259884754e-05,64.9610423072358,80.482259884754,1.55212175775182e-05
CA-CFAR,17,13,1e-06,120,0,60,131,7,0.0534351145038168,307,9394273,3.26794846179156e-05,32.6794846179156,7,62,124,0.101449275362319,0.0534351145038168,0.07,0,1,0,NaN,NaN,0.113412183259562,-1.32908202518665,0,300.085121397593,2.91258160334806e-05,3.6547128645605e-05,29.1258160334806,36.547128645605,7.42131261212436e-06
G0,17,13,1e-06,120,3,60,131,3,0.0229007633587786,52,1971202,2.6379843364607e-05,26.379843364607,3,31,128,0.0882352941176471,0.0229007633587786,0.0363636363636364,0.775174514783428,0.224825485216572,0,17.3333427273551,32.557698687315,0.113412183259562,-1.32908202518665,4021.6555472095,4580.49637123623,1.97017895747088e-05,3.45935128331203e-05,19.7017895747088,34.5935128331203,1.48917232584115e-05
